Financial_Component,Sep_2025,Oct_2025,Nov_2025,Dec_2025,Jan_2026,Feb_2026,Mar_2026,Q2_2026,Q3_2026,Q4_2026
Nebula_Revenue_Actual,0.0,0.6,1.1,0.5,0.5,0.7,0.4,1.7,1.5,3.7
Disclosure_Revenue_Actual,0.0,0.0,0.0,0.0,0.0,0.3,1.3,12.1,41.6,50.0
Lingua_Revenue_Actual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,65.2
Total_Revenue_Actual,0.0,0.6,1.1,0.5,0.5,0.9,1.7,13.8,58.3,118.9
LLM_Costs,1.2,2.8,4.1,5.9,7.2,8.8,11.2,18.5,28.9,42.1
Cloud_Infrastructure,0.8,1.1,1.5,2.1,2.8,3.4,4.2,7.8,12.3,18.9
Salaries,45.6,52.8,59.2,65.8,72.4,78.9,85.1,261.5,267.8,274.2
Marketing,8.2,12.1,15.8,18.4,21.2,24.6,27.9,78.4,89.2,102.5
Development,2.1,3.4,4.8,6.2,7.5,8.9,10.4,28.7,34.1,39.8
Administration,3.2,3.8,4.2,4.6,5.1,5.4,5.8,16.8,18.2,19.7
Subsidiary_Costs,5.1,6.2,7.3,8.4,9.5,10.6,11.7,35.2,38.9,42.6
Total_Costs,66.2,81.2,96.9,113.3,126.7,140.5,155.3,447.0,489.4,539.8
Net_Income_Actual_vs_Template,-66.2,-80.62896511411563,-95.79165198702087,-112.81733520356852,-126.24520716066601,-139.55155355056644,-153.62191109100635,-433.1861289481204,-431.14480080329736,-420.9335527834429
Gross_Margin_Percent,-100.0,-14119.8,-8642.7,-23373.8,-27758.8,-14713.7,-9154.6,-3135.9,-740.1,-354.1
Starting_Cash,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Founder_Opportunity_Cost,15.0,15.0,15.0,15.0,15.0,15.0,15.0,45.0,45.0,45.0
Founder_Contribution,25.0,10.0,10.0,10.0,5.0,5.0,5.0,15.0,15.0,15.0
Google_Credits,0.0,5.0,5.0,5.0,5.0,5.0,5.0,15.0,15.0,15.0
Seed_Capital,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0
Series_A_Capital,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,0.0,0.0
Series_B_Capital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0
Total_Sources,140.0,30.0,30.0,180.0,25.0,25.0,225.0,275.0,75.0,875.0
Operations,66.2,81.2,96.9,113.3,126.7,140.5,155.3,447.0,489.4,539.8
MVP_Development,5.0,8.0,12.0,15.0,10.0,5.0,2.0,15.0,8.0,3.0
Infrastructure_Investment,2.0,3.0,4.0,5.0,6.0,7.0,8.0,21.0,24.0,27.0
Marketing_Campaign,0.0,0.0,2.0,8.0,12.0,18.0,25.0,55.0,75.0,95.0
Total_Uses,73.2,92.2,114.9,141.3,154.7,170.5,190.3,538.0,596.4,664.8
Cash_Flow,66.8,-62.2,-84.9,38.7,-129.7,-145.5,34.7,-263.0,-521.4,210.2
Cumulative_Cash,66.8,4.6,-80.3,-41.6,-171.3,-316.8,-282.1,-545.1,-1066.5,-856.3
