Month,Nebula_Revenue_k,Nebula_Customers,Disclosure_Revenue_k,Disclosure_Clients,Lingua_Revenue_k,Lingua_Pairs,Total_Revenue_k
Aug 2025,0.0,0,0.0,0,0.0,0,0.0
Sep 2025,0.0,0,0.0,0,0.0,0,0.0
Oct 2025,1.1420697717687436,57,0.0,0,0.0,0,1.1420697717687436
Nov 2025,2.2166960259582846,166,0.0,0,0.0,0,2.2166960259582846
Dec 2025,0.9653295928629521,209,0.0,0,0.0,0,0.9653295928629521
Jan 2026,0.9095856786679856,240,0.0,0,0.0,0,0.9095856786679856
Feb 2026,1.3028928988671142,298,0.297,1,0.0,0,1.5998928988671142
Mar 2026,0.7863641233016294,307,1.284906847342835,5,0.0,0,2.0712709706444645
Apr 2026,1.586983377852757,354,1.9739116692424,8,0.0,0,3.5608950470951566
May 2026,0.8743715086740547,374,2.368617963085721,10,0.0,0,3.242989471759776
Jun 2026,0.9756017338355807,420,7.752863109370259,13,0.0,0,8.72846484320584
Jul 2026,0.9032148234953574,438,10.101829806403924,19,0.0,0,11.005044629899281
Aug 2026,0.7114949476962573,465,15.49450056054997,22,3.2137507932395617,54,19.419746301485787
Sep 2026,1.4500412444621784,490,16.052055531298954,26,11.860686997383317,201,29.36278377314445
Oct 2026,2.284561781343934,582,16.092517641004008,27,18.252266869060808,309,36.62934629140875
Nov 2026,1.610747832297185,634,16.577738876072576,30,13.170865868382798,223,31.35935257675256
Dec 2026,3.586000112625231,789,17.294117702227627,34,33.73828539667604,572,54.6184032115289
